id,item_date,quantity tons,customer,country,status,item type,application,thickness,width,product_ref,delivery date,selling_price
DDDC79E9-3ECD-4113-BEFC-5C2B52226CB6,20201215.0,17.267715394364505,30157111.0,78.0,Success,W,41.0,1.0,1500.0,611993,20210301.0,896.0
90F86621-01E5-413D-8618-4A22CBDBB53B,20201215.0,23.557050021294273,30157111.0,78.0,Success,W,41.0,1.0,1246.0,611993,20210301.0,887.0
A08E858E-96B9-4E17-AF2E-4FD4F006DDD0,20201215.0,17.244041201812184,30157111.0,78.0,Success,W,41.0,1.25,1500.0,611993,20210301.0,876.0
DB508C25-DF0D-46C2-AE9F-B55C917E3A83,20201215.0,24.220587031303968,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,956.0
494FEA1C-C77C-4BFF-AA81-6EFBF1BF54AE,20201215.0,19.16967074807839,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,1002.0
525951FA-1A7D-4650-8DD1-0159600F7CAB,20201215.0,16.917330290752766,30157111.0,78.0,Success,W,41.0,1.25,1500.0,611993,20210301.0,876.0
0FEE6ED6-4713-4126-823C-E3E5D1F3B45F,20201215.0,25.478846038847905,30157111.0,78.0,Success,W,41.0,0.63,1250.0,611993,20210301.0,1045.0
2427EE8B-7272-4859-A586-58249230B2C2,20201215.0,24.6010675360247,30157111.0,78.0,Success,W,41.0,1.0,1500.0,611993,20210301.0,896.0
6FA99DEE-1A9E-4988-8EBA-8A899AA5ED05,20201215.0,16.602172706629904,30157111.0,78.0,Success,W,41.0,0.63,1250.0,611993,20210301.0,980.0
5108904C-1A8E-43B8-8B9A-386701BDF2E1,20201215.0,24.84040259428584,30157111.0,78.0,Success,W,41.0,0.88,1246.0,611993,20210301.0,921.0
748BC568-281C-4492-95DE-8ED98642B5D3,20201215.0,25.627673713977796,30157111.0,78.0,Success,W,41.0,0.75,1500.0,611993,20210301.0,1215.0
670159AC-7B61-4E3C-9B97-8DBC490CC9A1,20201215.0,18.32378200699114,30157111.0,78.0,Success,W,41.0,1.0,1500.0,611993,20210301.0,888.0
79EAE08E-7AEF-4F6F-88D5-0FA84EBBC9DF,20201215.0,20.295794403626278,30157111.0,78.0,Success,W,41.0,0.88,1250.0,611993,20210301.0,922.0
B8120AB8-408D-400E-9109-101169C16850,20201215.0,17.55351660980115,30157111.0,78.0,Success,W,41.0,0.7,1500.0,611993,20210301.0,1080.0
